Entry	Gene names	Annotation	Mass
Q6IEE8	SLFN12L SLFN5	3 out of 5	67,096
O43623	SNAI2 SLUG SLUGH	5 out of 5	29,986
O95295	SNAPIN BLOC1S7 SNAP25BP SNAPAP	5 out of 5	14,874
Q12824	SMARCB1 BAF47 INI1 SNF5L1	5 out of 5	44,141
Q8TER0	SNED1	3 out of 5	152,204
Q96C24	SYTL4	5 out of 5	76,024
O43759	SYNGR1	5 out of 5	25,456
O95473	SYNGR4	2 out of 5	25,820
Q53HV7	SMUG1	5 out of 5	29,862
O75324	SNN	5 out of 5	9,497
Q9BV90	SNRNP25 C16orf33	5 out of 5	15,270
B1AK76	SNURFL CXorf19	2 out of 5	14,245
Q53GS9	USP39 CGI-21 HSPC332 PRO2855	5 out of 5	65,381
Q5SXM2	SNAPC4 SNAP190	5 out of 5	159,433
O75971	SNAPC5 SNAP19	5 out of 5	11,328
Q9Y5X0	SNX10	5 out of 5	23,598
Q9UMY4	SNX12	5 out of 5	19,730
Q9Y5W8	SNX13 KIAA0713	5 out of 5	112,189
Q5VWJ9	SNX30	2 out of 5	49,677
Q96RF0	SNX18 SH3PXD3B SNAG1	5 out of 5	68,894
Q92543	SNX19 KIAA0254	5 out of 5	108,598
Q96L94	SNX22	3 out of 5	22,068
Q96L92	SNX27 KIAA0488 My014	5 out of 5	61,265
O60749	SNX2 TRG9	5 out of 5	58,471
Q9UIG8	SLCO3A1 OATP3A1 OATPD SLC21A11	5 out of 5	76,553
Q9UNH6	SNX7	4 out of 5	45,303
Q6ZQN7	SLCO4C1 OATP4C1 OATPX SLC21A20	5 out of 5	78,948
Q9NYB5	SLCO1C1 OATP14 OATP1C1 OATPF SLC21A14	5 out of 5	78,696
Q92959	SLCO2A1 OATP2A1 SLC21A2	5 out of 5	70,044
P00441	SOD1	5 out of 5	15,936
P18583	SON C21orf50 DBP5 KIAA1019 NREBP HSPC310 HSPC312	5 out of 5	263,830
Q8WY21	SORCS1 SORCS	5 out of 5	129,635
Q96PQ0	SORCS2 KIAA1329	4 out of 5	128,152
Q9NRY2	INIP C9orf80 SSBIP1 HSPC043 HSPC291	5 out of 5	11,425
Q99523	SORT1	5 out of 5	92,068
O95416	SOX14 SOX28	3 out of 5	26,485
P35716	SOX11	5 out of 5	46,679
O15370	SOX12 SOX22	4 out of 5	34,122
O00570	SOX1	4 out of 5	39,023
P41225	SOX3	5 out of 5	45,210
Q06945	SOX4	5 out of 5	47,263
P35711	SOX5	5 out of 5	84,026
Q9BT81	SOX7	5 out of 5	42,197
P57073	SOX8	5 out of 5	47,314
O76070	SNCG BCSG1 PERSYN PRSN	5 out of 5	13,331
P26640	VARS G7A VARS2	5 out of 5	140,476
Q9HB58	SP110	5 out of 5	78,396
Q13342	SP140 LYSP100	5 out of 5	98,223
Q9H930	SP140L	3 out of 5	67,005
Q9UGM6	WARS2	5 out of 5	40,147
Q6BEB4	SP5	3 out of 5	41,964
Q3SY00	TSGA10IP	4 out of 5	62,381
Q9NUJ3	TCP11L1	2 out of 5	57,035
Q8N4U5	TCP11L2	2 out of 5	58,091
Q07617	SPAG1	5 out of 5	103,639
Q9NPE6	SPAG4 SUN4	5 out of 5	48,165
Q96R06	SPAG5	5 out of 5	134,422
A0PK00	TMEM120B	3 out of 5	40,246
Q9BXQ6	TMEM121B CECR6	2 out of 5	58,425
Q8N0X7	SPART KIAA0610 SPG20 TAHCCP1	5 out of 5	72,833
A6NKU9	SPDYE3	2 out of 5	63,895
O95238	SPDEF PDEF PSE	5 out of 5	37,518
Q9UIV8	SERPINB13 PI13	5 out of 5	44,276
Q6IEE7	TMEM132E	4 out of 5	107,094
Q9BQI5	SGIP1	5 out of 5	89,109
Q96LD1	SGCZ	4 out of 5	32,949
Q6P4A7	SFXN4 BCRM1	4 out of 5	37,998
Q16585	SGCB	5 out of 5	34,777
Q6PDA7	SPAG11A EP2 HE2	3 out of 5	13,842
Q92629	SGCD	5 out of 5	32,071
O43765	SGTA SGT SGT1	5 out of 5	34,063
Q7M4L6	SHF	3 out of 5	46,768
Q9UPX8	SHANK2 CORTBP1 KIAA1022 PROSAP1	5 out of 5	158,822
Q9Y371	SH3GLB1 KIAA0491 CGI-61	5 out of 5	40,796
Q9BTD1	SHANK2-AS3 C11orf76	1 out of 5	13,317
P04278	SHBG	5 out of 5	43,779
Q7Z6J0	SH3RF1 KIAA1494 POSH POSH1 RNF142 SH3MD2	5 out of 5	93,129
Q6UWI4	SHISA2 C13orf13 TMEM46 UNQ9166/PRO28631	3 out of 5	31,375
P29353	SHC1 SHC SHCA	5 out of 5	62,822
A6NL88	SHISA7	4 out of 5	56,214
Q6PI26	SHQ1	5 out of 5	65,125
Q3SXP7	SHISAL1 KIAA1644	2 out of 5	22,573
P58511	SMIM11A C21orf51 FAM165B SMIM11	2 out of 5	6,886
Q969X2	ST6GALNAC6 SIAT7F UNQ708/PRO1359	5 out of 5	38,068
Q9P2F8	SIPA1L2 KIAA1389	3 out of 5	190,438
O60292	SIPA1L3 KIAA0545 SPAL3	5 out of 5	194,610
Q9H0F6	SHARPIN SIPL1 PSEC0216	5 out of 5	39,949
Q92187	ST8SIA4 PST PST1 SIAT8D	5 out of 5	41,295
Q16842	ST3GAL2 SIAT4B	5 out of 5	40,173
P61647	ST8SIA6 SIAT8F	5 out of 5	44,836
Q8IW03	SIAH3	4 out of 5	30,660
Q6IA17	SIGIRR UNQ301/PRO342	5 out of 5	45,679
Q8N5G0	SMIM20 C4orf52 MITRAC7	4 out of 5	7,702
Q96ST3	SIN3A	5 out of 5	145,175
A0A1B0GU29	SMIM28	1 out of 5	16,551
A0A1B0GVV1	SMIM35 TMPRSS4-AS1	2 out of 5	9,379
Q1XH10	SKIDA1 C10orf140 DLN1	3 out of 5	98,148
P63208	SKP1 EMC19 OCP2 SKP1A TCEB1L	5 out of 5	18,658
Q15477	SKIV2L DDX13 SKI2W SKIV2 W	5 out of 5	137,755
Q2VWA4	SKOR2 CORL2 FUSSEL18	5 out of 5	104,235
Q9P0V8	SLAMF8 BLAME	5 out of 5	31,670
Q9P270	SLAIN2 KIAA1458	5 out of 5	62,543
Q13291	SLAMF1 SLAM	5 out of 5	37,231
Q5TAH2	SLC9C2 SLC9A11	4 out of 5	129,053
A8MWL6		2 out of 5	24,647
Q6IEG0	SNRNP48 C6orf151	5 out of 5	39,965
Q9Y675	SNURF	2 out of 5	8,412
Q16533	SNAPC1 SNAP43	4 out of 5	42,994
Q13487	SNAPC2 SNAP45	5 out of 5	35,556
Q13424	SNTA1 SNT1	5 out of 5	53,895
O75159	SOCS5 CIS6 CISH5 CISH6 KIAA0671	5 out of 5	61,246
O14543	SOCS3 CIS3 SSI3	5 out of 5	24,770
Q5TF21	SOGA3 C6orf174	3 out of 5	103,199
Q15506	SPA17 SP17	5 out of 5	17,406
Q02086	SP2 KIAA0048	5 out of 5	64,900
P08047	SP1 TSFP1	5 out of 5	80,693
Q86XZ4	SPATS2 SCR59 SPATA10 Nbla00526	3 out of 5	59,545
B4DZS4	TCP11X1	1 out of 5	34,563
Q5H9J9	TCP11X2	1 out of 5	46,373
Q8NBT2	SPC24 SPBC24	5 out of 5	22,478
A2VDJ0	TMEM131L KIAA0922	5 out of 5	179,339
Q15005	SPCS2 KIAA0102 SPC25	4 out of 5	25,003
Q14C87	TMEM132D HBE120 KIAA1944 MOLT	4 out of 5	122,309
A6NJR5		1 out of 5	34,699
Q96EA4	SPDL1 CCDC99	5 out of 5	70,172
Q86TG1	TMEM150A TMEM150	5 out of 5	28,835
Q5MJ70	SPDYA SPDY1 SPY1	5 out of 5	36,463
P0CG40	SP9	3 out of 5	48,915
Q8WVE7	TMEM170A TMEM170	5 out of 5	15,250
Q9BUD6	SPON2 DIL1 UNQ435/PRO866	5 out of 5	35,846
Q9NRA0	SPHK2	5 out of 5	69,217
P51688	SGSH HSS	5 out of 5	56,695
O60880	SH2D1A DSHP SAP	5 out of 5	14,187
Q96B97	SH3KBP1 CIN85	5 out of 5	73,126
Q9NP31	SH2D2A SCAP TSAD VRAP	5 out of 5	42,934
Q9UJC5	SH3BGRL2 FASH3	3 out of 5	12,326
Q8N2H4	SYS1 C20orf169	4 out of 5	17,615
Q96EB6	SIRT1 SIR2L1	5 out of 5	81,681
Q9H106	SIRPD PTPNS1L2	2 out of 5	21,687
Q9NP81	SARS2 SARSM	5 out of 5	58,283
Q9Y3P8	SIT1 SIT	5 out of 5	21,126
Q15475	SIX1	5 out of 5	32,210
O95343	SIX3	5 out of 5	35,487
Q9UIU6	SIX4	5 out of 5	82,933
Q8N196	SIX5 DMAHP	5 out of 5	74,562
A4D0T7	SMIM30	2 out of 5	6,102
O95475	SIX6 OPTX2 SIX9	5 out of 5	27,687
Q07837	SLC3A1 RBAT	5 out of 5	78,852
Q9UIB8	CD84 SLAMF5	5 out of 5	38,782
P04179	SOD2	5 out of 5	24,750
O94964	SOGA1 C20orf117 KIAA0889 SOGA	5 out of 5	159,760
Q5JUK2	SOHLH1 C9orf157 NOHLH TEB2	5 out of 5	34,526
P01241	GH1	5 out of 5	24,847
Q9UPU3	SORCS3 KIAA1059	3 out of 5	135,755
P30626	SRI	5 out of 5	21,676
Q6X4U4	SOSTDC1 USAG1 CDA019	5 out of 5	23,307
P56693	SOX10	5 out of 5	49,911
O60248	SOX15 SOX12 SOX20 SOX26 SOX27	5 out of 5	25,251
Q9H6I2	SOX17	5 out of 5	44,117
P35713	SOX18	5 out of 5	40,891
Q9Y651	SOX21 SOX25 SOXA	4 out of 5	28,580
P48431	SOX2	5 out of 5	34,310
O94993	SOX30	4 out of 5	81,854
P37840	SNCA NACP PARK1	5 out of 5	14,460
P35712	SOX6	5 out of 5	91,921
Q16143	SNCB	5 out of 5	14,288
P48436	SOX9	5 out of 5	56,137
Q5ST30	VARS2 KIAA1885 VARS2L VARSL	5 out of 5	118,490
Q86TM6	SYVN1 HRD1 KIAA1810	5 out of 5	67,685
Q9P0Z9	PIPOX LPIPOX PSO	5 out of 5	44,066
Q9H0E3	SAP130	5 out of 5	110,324
Q9Y5B9	SUPT16H FACT140 FACTP140	5 out of 5	119,914
Q496A3	SPATS1	2 out of 5	33,705
Q9BWV2	SPATA9	3 out of 5	28,740
Q9H061	TMEM126A	4 out of 5	21,527
Q495Y8	SPDYE2	2 out of 5	48,300
Q96P15	SERPINB11	4 out of 5	44,099
P61009	SPCS3 SPC22 UNQ1841/PRO3567	4 out of 5	20,313
P50453	SERPINB9 PI9	5 out of 5	42,404
Q9NWH7	SPATA6	4 out of 5	55,989
Q14159	SPIDR KIAA0146	5 out of 5	100,316
Q9NY87	SPANXC	3 out of 5	10,982
O75528	TADA3 ADA3 TADA3L	5 out of 5	48,902
O43791	SPOP	5 out of 5	42,132
Q9NZQ3	NCKIPSD AF3P21 SPIN90	5 out of 5	78,960
Q9NYA1	SPHK1 SPHK SPK	5 out of 5	42,518
Q9Y657	SPIN1 OCR SPIN	5 out of 5	29,601
P52788	SMS	5 out of 5	41,268
Q9H714	RUBCNL C13orf18 KIAA0226L	3 out of 5	73,457
Q9BVN2	RUSC1 NESCA	5 out of 5	96,444
Q8N2Y8	RUSC2 KIAA0375	5 out of 5	161,225
Q8IZ73	RPUSD2 C15orf19	3 out of 5	61,311
Q9Y265	RUVBL1 INO80H NMP238 TIP49 TIP49A	5 out of 5	50,228
P62304	SNRPE	5 out of 5	10,804
P62306	SNRPF PBSCF	5 out of 5	9,725
P06702	S100A9 CAGB CFAG MRP14	5 out of 5	13,242
Q9UP95	SLC12A4 KCC1	5 out of 5	120,650
P06703	S100A6 CACY	5 out of 5	10,180
Q16348	SLC15A2 PEPT2	5 out of 5	81,783
Q13621	SLC12A1 NKCC2	5 out of 5	121,450
Q8WXG1	RSAD2 CIG5	5 out of 5	42,170
O95363	FARS2 FARS1 HSPC320	5 out of 5	52,357
Q52WX2	SBK1	4 out of 5	46,252
Q9UPW6	SATB2 KIAA1034	5 out of 5	82,555
Q13228	SELENBP1 SBP	5 out of 5	52,391
O75396	SEC22B SEC22L1	5 out of 5	24,593
Q15437	SEC23B	5 out of 5	86,479
P13866	SLC5A1 NAGT SGLT1	5 out of 5	73,498
O94855	SEC24D KIAA0755	5 out of 5	113,010
Q9Y289	SLC5A6 SMVT	4 out of 5	68,642
Q1EHB4	SLC5A12 SMCT2	5 out of 5	67,647
Q8WWX8	SLC5A11 KST1 SLGTX SMIT2	5 out of 5	74,036
Q92791	P3H4 LEPREL4 NOL55 SC65	5 out of 5	50,381
P23975	SLC6A2 NAT1 NET1 SLC6A5	5 out of 5	69,332
Q01959	SLC6A3 DAT1	5 out of 5	68,495
P31645	SLC6A4 HTT SERT	5 out of 5	70,325
Q99590	SCAF11 CASP11 SFRS2IP SIP1 SRSF2IP	5 out of 5	164,652
Q9BVL4	SELENOO SELO	4 out of 5	73,489
Q9BQE4	SELENOS SELS VIMP AD-015 SBBI8	5 out of 5	21,163
P62341	SELENOT SELT UNQ150/PRO176	5 out of 5	22,324
P63302	SELENOW SELW SEPW1	3 out of 5	9,448
Q13214	SEMA3B SEMA5 SEMAA	5 out of 5	83,122
Q99985	SEMA3C SEMAE	5 out of 5	85,207
Q9P283	SEMA5B KIAA1445 SEMAG UNQ5867/PRO34001	5 out of 5	125,913
Q9H3S1	SEMA4A SEMAB SEMB UNQ783/PRO1317	5 out of 5	83,574
Q9NPR2	SEMA4B KIAA1745 SEMAC UNQ749/PRO1480	5 out of 5	92,193
Q9C0C4	SEMA4C KIAA1739 SEMAI UNQ5855/PRO34487	5 out of 5	92,623
P56192	MARS	5 out of 5	101,116
P04279	SEMG1 SEMG	5 out of 5	52,131
Q6ZVN7	SEM1 C7orf76	2 out of 5	14,085
Q96HI0	SENP5 FKSG45	5 out of 5	86,693
Q92797	SYMPK SPK	5 out of 5	141,148
P49908	SELENOP SELP SEPP1	5 out of 5	43,174
Q9Y617	PSAT1 PSA	5 out of 5	40,423
P58004	SESN2 Hi95 SEST2	5 out of 5	54,494
P58005	SESN3 SEST3	5 out of 5	57,291
Q8N4B1	PHETA1 FAM109A	5 out of 5	27,215
Q9Y6X1	SERP1 RAMP4	5 out of 5	7,374
O15047	SETD1A KIAA0339 KMT2F SET1 SET1A	5 out of 5	186,034
Q96T68	SETDB2 C13orf4 CLLD8 KMT1F	5 out of 5	81,894
Q8NE22	SETD9 C5orf35	3 out of 5	34,095
Q53H47	SETMAR	5 out of 5	78,034
Q7Z333	SETX ALS4 KIAA0625 SCAR1	5 out of 5	302,880
Q01105	SET	5 out of 5	33,489
Q92777	SYN2	5 out of 5	62,996
O14994	SYN3	5 out of 5	63,303
Q15637	SF1 ZFM1 ZNF162	5 out of 5	68,330
O43776	NARS	4 out of 5	62,943
O15056	SYNJ2 KIAA0348	5 out of 5	165,538
Q96HF1	SFRP2 FRP2 SARP1 FKSG12 UNQ361/PRO697	5 out of 5	33,490
Q8TBG9	SYNPR	4 out of 5	29,166
Q9UMZ2	SYNRG AP1GBP1 SYNG	5 out of 5	140,654
Q86XK3	SFR1 C10orf78 MEI5 MEIR5	5 out of 5	28,262
Q8N474	SFRP1 FRP FRP1 SARP2	5 out of 5	35,386
O95968	SCGB1D1 LIPHA LPNA	4 out of 5	9,898
P35247	SFTPD COLEC7 PSPD SFTP4	5 out of 5	37,728
O75556	SCGB2A1 LIPHC MGB2 UGB3	5 out of 5	10,884
Q96QR1	SCGB3A1 HIN1 PNSP2 UGRP2 UNQ629/PRO1245	4 out of 5	10,100
Q9BWM7	SFXN3	3 out of 5	35,503
Q16586	SGCA ADL DAG2	5 out of 5	42,875
Q08648	SPAG11B EP2 HE2	5 out of 5	11,431
Q9H5K3	POMK SGK196	5 out of 5	40,050
O95470	SGPL1 KIAA1252	5 out of 5	63,524
P62241	RPS8 OK/SW-cl.83	5 out of 5	24,205
Q6T310	RASL11A	3 out of 5	27,006
Q8WTV0	SCARB1 CD36L1 CLA1	5 out of 5	60,878
Q14108	SCARB2 CD36L2 LIMP2 LIMPII	5 out of 5	54,290
O75711	SCRG1 UNQ390/PRO725	3 out of 5	11,081
Q14160	SCRIB CRIB1 KIAA0147 LAP4 SCRB1 VARTUL	5 out of 5	174,885
Q9BWW7	SCRT1	5 out of 5	35,570
Q12765	SCRN1 KIAA0193	4 out of 5	46,382
Q8WVN6	SECTM1 K12	5 out of 5	27,039
P47872	SCTR	4 out of 5	50,207
Q9NQ36	SCUBE2 CEGP1	5 out of 5	109,957
Q7RTU7	SCX BHLHA41 BHLHA48 SCXA SCXB	5 out of 5	21,596
Q96KG9	SCYL1 CVAK90 GKLP NTKL TAPK TEIF TRAP HT019	5 out of 5	89,631
Q6P3W7	SCYL2 CVAK104 KIAA1360	5 out of 5	103,709
Q9NVU7	SDAD1 NUC130	5 out of 5	79,871
O75056	SDC3 KIAA0468	5 out of 5	45,497
P31431	SDC4	5 out of 5	21,642
Q9NSE4	IARS2	5 out of 5	113,792
A6NFY7	SDHAF1 LYRM8	4 out of 5	12,806
Q6ZPB5	SDIM1	4 out of 5	16,112
P20132	SDS SDH	5 out of 5	34,625
P55735	SEC13 D3S1231E SEC13A SEC13L1 SEC13R	5 out of 5	35,541
Q12981	BNIP1 NIP1 SEC20L TRG8	5 out of 5	26,132
Q6UXD5	SEZ6L2 PSK UNQ1903/PRO4349	5 out of 5	97,560
Q9HB31	SEBOX OG9X	3 out of 5	22,879
Q96T21	SECISBP2 SBP2	5 out of 5	95,462
P57105	SYNJ2BP OMP25	5 out of 5	15,928
Q15046	KARS KIAA0070	5 out of 5	68,048
Q15031	LARS2 KIAA0028	5 out of 5	101,976
P57772	EEFSEC SELB	4 out of 5	65,305
Q9H2E6	SEMA6A KIAA1368 SEMAQ	5 out of 5	114,395
Q13275	SEMA3F	5 out of 5	88,381
Q9H3T3	SEMA6B SEMAN SEMAZ UNQ1907/PRO4353	5 out of 5	95,285
Q7Z6J9	TSEN54 SEN54	5 out of 5	58,819
Q8NFY4	SEMA6D KIAA1479	5 out of 5	119,872
O60613	SELENOF SEP15	4 out of 5	18,092
Q02383	SEMG2	5 out of 5	65,444
Q9H4L4	SENP3 SSP3 SUSP3	5 out of 5	65,010
Q9GZR1	SENP6 KIAA0797 SSP1 SUSP1 FKSG6	5 out of 5	126,146
Q16181	SEPT7 CDC10	5 out of 5	50,680
Q6SPF0	SAMD1	3 out of 5	56,052
Q8N6K7	SAMD3	3 out of 5	61,237
Q7Z3H4	SAMD7	2 out of 5	49,112
Q96LT4	SAMD8	5 out of 5	48,321
Q8TEE9	SAP25	2 out of 5	20,873
P17900	GM2A	5 out of 5	20,838
Q9NSI8	SAMSN1 HACS1	5 out of 5	41,708
P02743	APCS PTX2	5 out of 5	25,387
Q5SSQ6	SAPCD1 C6orf26 G7D NG23	2 out of 5	16,650
Q86UD0	SAPCD2 C9orf140	5 out of 5	42,637
O94885	SASH1 KIAA0790 PEPE1	5 out of 5	136,653
P21673	SAT1 SAT	5 out of 5	20,024
Q8IYX7	SAXO1 C9orf138 FAM154A	5 out of 5	54,621
Q658L1	SAXO2 FAM154B	3 out of 5	45,933
Q01826	SATB1	5 out of 5	85,957
P0C264	SBK3 SGK110	3 out of 5	38,488
Q86VE3	SATL1	3 out of 5	55,833
Q8IVN8	SBSPON C8orf84 RPESP	4 out of 5	29,610
P67812	SEC11A SEC11L1 SPC18 SPCS4A	5 out of 5	20,625
Q9BY50	SEC11C SEC11L3 SPC21 SPCS4C	4 out of 5	21,542
Q15436	SEC23A	5 out of 5	86,161
O95486	SEC24A	5 out of 5	119,749
P31639	SLC5A2 SGLT2	5 out of 5	72,897
P53794	SLC5A3	4 out of 5	79,694
Q4G0G5	SCGB2B2 SCGB4A2 SCGBL	2 out of 5	10,563
Q92911	SLC5A5 NIS	5 out of 5	68,666
Q9GZV3	SLC5A7 CHT1	5 out of 5	63,204
Q8N695	SLC5A8 AIT SMCT SMCT1	5 out of 5	66,578
O75845	SC5D SC5DL	5 out of 5	35,301
Q2M3M2	SLC5A9 SGLT4	5 out of 5	74,073
P30531	SLC6A1 GABATR GABT1 GAT1	5 out of 5	67,074
P60059	SEC61G	3 out of 5	7,741
P31641	SLC6A6	5 out of 5	69,830
Q8N9R8	SCAI C9orf126	5 out of 5	70,399
P48029	SLC6A8	5 out of 5	70,523
Q86SK9	SCD5 ACOD4 SCD2 SCD4	5 out of 5	37,610
A0A286YF46	SCYGR5 KRTAP28-5	2 out of 5	8,201
A0A286YEX9	SCYGR10 KRTAP28p2	2 out of 5	3,825
P21583	KITLG MGF SCF	5 out of 5	30,899
Q6UWF3	SCIMP C17orf87 UNQ5783/PRO16090	5 out of 5	16,618
P05060	CHGB SCG1	5 out of 5	78,276
A0A286YEY9	SCYGR1 KRTAP28-1	2 out of 5	8,607
A0A286YFB4	SCYGR2 KRTAP28-2	2 out of 5	10,822
Q969E2	SCAMP4	3 out of 5	25,728
Q8TAC9	SCAMP5	5 out of 5	26,104
Q07699	SCN1B	5 out of 5	24,707
Q15858	SCN9A NENA	5 out of 5	226,372
Q6KCM7	SLC25A25 APC3 KIAA1896 MCSC3 SCAMC2 UNQ549/PRO1106	5 out of 5	52,663
Q9UI33	SCN11A SCN12A SNS2	5 out of 5	204,922
P35499	SCN4A	5 out of 5	208,061
P37088	SCNN1A SCNN1	5 out of 5	75,704
Q9UQD0	SCN8A MED	5 out of 5	225,280
Q96PV0	SYNGAP1 KIAA1938	5 out of 5	148,284
Q9UJQ7	SCP2D1 C20orf79	2 out of 5	17,663
P12081	HARS HRS	5 out of 5	57,411
P49590	HARS2 HARSL HARSR HO3	5 out of 5	56,888
Q9NQ03	SCRT2 FP7030	3 out of 5	32,584
Q96FV2	SCRN2	3 out of 5	46,597
Q0VDG4	SCRN3	2 out of 5	48,544
Q8IWY4	SCUBE1	5 out of 5	107,910
Q8IX30	SCUBE3 CEGF3	5 out of 5	109,282
Q6IQ49	SDE2 C1orf55	5 out of 5	49,742
P48061	CXCL12 SDF1 SDF1A SDF1B	5 out of 5	10,666
Q86SQ7	SDCCAG8 CCCAP NPHP10 HSPC085	5 out of 5	82,682
P21912	SDHB SDH SDH1	5 out of 5	31,630
Q7Z5N4	SDK1	5 out of 5	242,112
Q68CR1	SEL1L3 KIAA0746	4 out of 5	128,567
Q9BYH1	SEZ6L KIAA0927 UNQ2542/PRO6094	5 out of 5	111,782
Q8IZD0	SAMD14	3 out of 5	45,056
Q5TGI4	SAMD5 SAMDC1	2 out of 5	19,231
Q9UL12	SARDH DMGDHL1	5 out of 5	101,037
Q6SZW1	SARM1 KIAA0524 SAMD2 SARM	5 out of 5	79,388
Q9NQZ2	UTP3 CRLZ1 SAS10	4 out of 5	54,558
O00631	SLN	5 out of 5	3,762
O75995	SASH3 CXorf9 SLY	4 out of 5	41,595
Q96F10	SAT2 SSAT2	5 out of 5	19,155
A3KN83	SBNO1 MOP3	3 out of 5	154,312
P0C263	SBK2 SGK069	4 out of 5	38,088
Q93073	SECISBP2L KIAA0256	3 out of 5	121,776
P0C7V7	SEC11B SEC11L2 SPCS4B	3 out of 5	19,160
O15027	SEC16A KIAA0310 SEC16 SEC16L	5 out of 5	251,894
Q9BRL7	SEC22C SEC22L3 UNQ459/PRO784	4 out of 5	34,269
O95487	SEC24B	5 out of 5	137,418
P53992	SEC24C KIAA0079	5 out of 5	118,325
Q9NY91	SLC5A4 SAAT1 SGLT3	4 out of 5	72,456
O94979	SEC31A KIAA0905 SEC31L1 HSPC275 HSPC334	5 out of 5	133,015
Q9NQW1	SEC31B SEC31L2	5 out of 5	128,697
Q9Y345	SLC6A5 GLYT2 NET1	5 out of 5	87,434
Q9BY12	SCAPER KIAA1454 ZNF291 MSTP063	5 out of 5	158,287
Q12770	SCAP KIAA0199 PSEC0227	5 out of 5	139,729
Q8WVM8	SCFD1 C14orf163 KIAA0917 STXBP1L2 FKSG23	5 out of 5	72,380
Q8WU76	SCFD2 STXBP1L1	3 out of 5	75,127
A0A286YF60	SCYGR3 KRTAP28-3	2 out of 5	9,511
A0A286YEV6	SCYGR4 KRTAP28-4	2 out of 5	9,792
A0A286YF77	SCYGR6 KRTAP28-6	2 out of 5	9,896
A0A286YFG1	SCYGR8 KRTAP28-8	2 out of 5	10,123
P0DPB3	SCHIP1	4 out of 5	53,480
P13521	SCG2 CHGC	5 out of 5	70,941
Q8WXD2	SCG3 UNQ2502/PRO5990	5 out of 5	53,005
Q8N228	SCML4	3 out of 5	45,023
O14828	SCAMP3 C1orf3 PROPIN1	5 out of 5	38,287
P35498	SCN1A NAC1 SCN1	5 out of 5	228,972
Q99250	SCN2A NAC2 SCN2A1 SCN2A2	5 out of 5	227,975
O60939	SCN2B UNQ326/PRO386	5 out of 5	24,326
Q9NY46	SCN3A KIAA1356 NAC3	5 out of 5	226,294
Q9BV35	SLC25A23 APC2 MCSC2 SCAMC3	5 out of 5	52,378
Q9NY72	SCN3B KIAA1158	5 out of 5	24,702
Q6R2W3	ZBED9 Buster4 KIAA1925 SCAND3 ZNF305P2 ZNF452	3 out of 5	151,666
P51170	SCNN1G	5 out of 5	74,270
Q01118	SCN7A SCN6A	5 out of 5	193,493
P51168	SCNN1B	5 out of 5	72,659
P55809	OXCT1 OXCT SCOT	5 out of 5	56,158
Q9HCN8	SDF2L1 UNQ1941/PRO4424	3 out of 5	23,598
P41252	IARS	5 out of 5	144,498
Q9NRP4	SDHAF3 ACN9 DC11	3 out of 5	14,652
Q5VUM1	SDHAF4 C6orf57	4 out of 5	12,213
Q58EX2	SDK2 KIAA1514	5 out of 5	239,396
Q99442	SEC62 TLOC1	5 out of 5	45,862
Q5TG53	SERTAD4-AS1 C1orf133	2 out of 5	16,212
P46781	RPS9	5 out of 5	22,591
Q5TD94	RSPH4A RSHL3	5 out of 5	80,733
Q5TEA6	SEL1L2 C20orf50	3 out of 5	77,964
Q9UGP8	SEC63 SEC63L	5 out of 5	87,997
Q9P2J5	LARS KIAA1352	5 out of 5	134,466
P09683	SCT	4 out of 5	13,016
O76038	SCGN SECRET	3 out of 5	32,040
Q8IZQ5	SELENOH C11orf31 SELH	2 out of 5	13,453
Q9Y6D0	SELENOK SELK HSPC030 HSPC297	5 out of 5	10,645
Q8WWX9	SELENOM SELM	4 out of 5	16,232
Q14242	SELPLG	5 out of 5	43,201
P60896	SEM1 C7orf76 DSS1 SHFDG1 SHFM1	5 out of 5	8,278
Q13591	SEMA5A SEMAF	5 out of 5	120,615
Q9BSV6	TSEN34 LENG5 SEN34	5 out of 5	33,652
Q9NVA2	SEPT11	5 out of 5	49,398
Q9P0U3	SENP1	5 out of 5	73,481
Q92854	SEMA4D C9orf164 CD100 SEMAJ	5 out of 5	96,150
O95754	SEMA4F SEMAM SEMAW	5 out of 5	83,511
Q9BQF6	SENP7 KIAA1707 SSP2 SUSP2	5 out of 5	119,658
Q96LD8	SENP8 DEN1 NEDP1 PRSC2 FKSG8	5 out of 5	24,107
Q9P0V9	SEPT10	5 out of 5	52,593
Q14141	SEPT6 KIAA0128 SEP2	5 out of 5	49,717
Q12884	FAP	5 out of 5	87,713
Q15019	SEPT2 DIFF6 KIAA0158 NEDD5	5 out of 5	41,487
O43175	PHGDH PGDH3	5 out of 5	56,651
P78330	PSPH	5 out of 5	25,008
Q9NRX5	SERINC1 KIAA1253 TDE1L TDE2 UNQ396/PRO732	5 out of 5	50,495
Q13530	SERINC3 DIFF33 TDE1 SBBI99	5 out of 5	52,580
A6NH21	SERINC4	3 out of 5	56,870
Q86VE9	SERINC5 C5orf12	5 out of 5	47,009
Q99719	SEPT5 PNUTL1	5 out of 5	42,777
P84101	SERF2 FAM2C	3 out of 5	6,900
Q9NQF3	SERHL SERHL2	2 out of 5	22,471
Q6ICB4	PHETA2 FAM109B	5 out of 5	28,338
